window_pos,normalized_RF
120_220,0.88
5350_5450,0.92
4400_4500,0.92
670_770,0.88
1650_1750,0.92
1120_1220,0.88
2970_3070,0.84
2110_2210,0.92
3280_3380,0.96
2660_2760,0.92
3500_3600,0.92
2690_2790,0.92
0_100,0.92
3270_3370,0.96
3850_3950,0.92
5010_5110,0.92
2980_3080,0.92
210_310,0.88
540_640,0.88
350_450,0.88
2890_2990,0.88
780_880,0.88
320_420,0.88
530_630,0.88
1280_1380,0.92
260_360,0.88
5430_5530,0.92
4360_4460,0.92
3650_3750,0.92
3120_3220,0.88
1850_1950,0.96
2240_2340,0.92
2530_2630,0.92
1500_1600,0.88
4390_4490,0.92
2860_2960,0.88
600_700,0.88
150_250,0.88
4020_4120,0.92
4700_4800,0.88
1270_1370,0.92
2390_2490,0.92
1980_2080,0.92
2700_2800,0.92
2020_2120,0.92
4860_4960,0.92
1010_1110,0.88
1730_1830,0.92
4240_4340,0.92
4530_4630,0.92
1350_1450,0.92
5120_5220,0.88
4890_4990,0.88
280_380,0.88
2360_2460,0.92
3430_3530,0.92
1970_2070,0.92
760_860,0.88
710_810,0.92
4980_5080,0.84
3010_3110,0.92
3730_3830,0.96
4690_4790,0.88
5500_5600,0.92
3990_4090,0.92
5270_5370,0.92
5280_5380,0.92
3960_4060,0.92
4110_4210,0.96
930_1030,0.88
1430_1530,0.88
4660_4760,0.88
2400_2500,0.92
3350_3450,0.96
690_790,0.88
4970_5070,0.84
4520_4620,0.92
1720_1820,0.92
1000_1100,0.88
4250_4350,0.92
4870_4970,0.92
2030_2130,0.92
2710_2810,0.92
1990_2090,0.88
2380_2480,0.92
1960_2060,0.92
3420_3520,0.92
2370_2470,0.92
800_900,0.88
90_190,0.88
4880_4980,0.88
,
5130_5230,0.88
1340_1440,0.92
3980_4080,0.92
5260_5360,0.92
4680_4780,0.92
870_970,0.88
4990_5090,0.88
3720_3820,0.96
3000_3100,0.92
4960_5060,0.84
490_590,0.88
3340_3440,0.96
2410_2510,0.92
920_1020,0.88
1420_1520,0.88
4670_4770,0.88
4100_4200,0.92
5290_5390,0.92
3970_4070,0.92
2670_2770,0.92
3290_3390,0.96
2100_2200,0.92
2960_3060,0.84
1130_1230,0.88
4410_4510,0.92
470_570,0.92
5340_5440,0.92
1640_1740,0.92
5000_5100,0.88
2990_3090,0.92
890_990,0.88
3840_3940,0.92
3260_3360,0.96
2680_2780,0.92
3510_3610,0.92
3130_3230,0.88
3640_3740,0.92
4370_4470,0.92
5420_5520,0.88
70_170,0.96
1290_1390,0.92
2880_2980,0.88
4710_4810,0.88
4030_4130,0.92
1260_1360,0.92
2870_2970,0.88
400_500,0.88
4380_4480,0.92
1510_1610,0.88
2520_2620,0.92
2250_2350,0.92
1840_1940,0.92
1360_1460,0.92
5110_5210,0.88
4280_4380,0.92
480_580,0.88
1940_2040,0.92
3400_3500,0.92
2350_2450,0.92
4850_4950,0.92
860_960,0.88
2010_2110,0.92
2730_2830,0.92
4270_4370,0.92
1700_1800,0.92
1020_1120,0.88
4500_4600,0.92
1390_1490,0.92
4120_4220,0.96
3950_4050,0.92
4650_4750,0.92
1400_1500,0.92
900_1000,0.88
3360_3460,0.92
2430_2530,0.92
80_180,0.92
810_910,0.88
4940_5040,0.84
3700_3800,0.96
3020_3120,0.92
3390_3490,0.92
5240_5340,0.92
3530_3630,0.92
3240_3340,0.96
5020_5120,0.92
3860_3960,0.92
1690_1790,0.92
410_510,0.88
5390_5490,0.92
1660_1760,0.92
4430_4530,0.92
5360_5460,0.92
2940_3040,0.84
60_160,0.92
1110_1210,0.88
3890_3990,0.96
2120_2220,0.92
2650_2750,0.92
2270_2370,0.92
1860_1960,0.96
3690_3790,0.96
2500_2600,0.92
880_980,0.88
10_110,0.92
1530_1630,0.88
1240_1340,0.92
4730_4830,0.88
4010_4110,0.92
2850_2950,0.88
460_560,0.92
4350_4450,0.92
5400_5500,0.92
3660_3760,0.92
2280_2380,0.92
1890_1990,0.92
3110_3210,0.88
140_240,0.88
1680_1780,0.92
610_710,0.88
5380_5480,0.92
3870_3970,0.92
5030_5130,0.92
3250_3350,0.96
3520_3620,0.92
2640_2740,0.92
2130_2230,0.92
1100_1200,0.88
3880_3980,0.92
2950_3050,0.84
270_370,0.88
520_620,0.88
1670_1770,0.92
330_430,0.88
5370_5470,0.92
790_890,0.88
4420_4520,0.92
2840_2940,0.88
340_440,0.88
1250_1350,0.92
550_650,0.88
