window_pos,normalized_RF
120_220,0.88
670_770,0.92
0_100,0.88
210_310,0.88
540_640,0.96
350_450,0.92
320_420,0.92
530_630,0.96
260_360,0.88
600_700,0.92
150_250,0.88
280_380,0.88
690_790,0.92
90_190,0.92
490_590,0.92
470_570,0.92
70_170,0.88
400_500,0.88
480_580,0.92
710_809,0.92
80_180,0.88
410_510,0.88
60_160,0.88
10_110,0.88
460_560,0.92
140_240,0.88
610_710,0.92
270_370,0.88
520_620,0.92
330_430,0.92
340_440,0.92
550_650,0.92
200_300,0.88
660_760,0.92
130_230,0.88
680_780,0.92
700_800,0.92
290_390,0.88
440_540,0.88
30_130,0.88
40_140,0.88
430_530,0.88
180_280,0.88
380_480,0.88
590_690,0.92
110_210,0.88
640_740,0.92
220_320,0.88
570_670,0.92
360_460,0.88
310_410,0.88
500_600,0.92
250_350,0.88
630_730,0.88
160_260,0.88
580_680,0.92
390_490,0.88
190_290,0.88
170_270,0.88
620_720,0.92
240_340,0.88
510_610,0.92
300_400,0.88
370_470,0.88
560_660,0.92
230_330,0.88
650_750,0.92
100_200,0.88
420_520,0.88
50_150,0.92
20_120,0.88
450_550,0.88
